종목명,종목코드
토모큐브,475960
삼성전자,005930
SK하이닉스,000660
제주반도체,080220
피에스케이,319660
원익IPS,240810
한미반도체,042700
이수페타시스,007660
하나마이크론,067310
DB하이텍,000990
대덕전자,353200
심텍,222800
유진테크,084370
리노공업,058470
ISC,095340
로보티즈,108490
현대무벡스,319400
두산로보틱스,454910
에스피지,058610
현대오토에버,307950
현대모비스,012330
현대위아,011210
한국피아이엠,448900
HL만도,204320
지엔씨에너지,119850
한화솔루션,009830
HD현대에너지솔루션,322000
OCI홀딩스,010060
PS일렉트로닉스,332570
삼성중공업,010140
성광벤드,014620
HD현대마린엔진,071970
삼성SDI,006400
엘앤에프,066970
포스코퓨처엠,003670
에코프로,086520
비에이치아이,083650
두산에너빌리티,034020
한전기술,052690
보성파워텍,006910
현대건설,000720
LS ELECTRIC,010120
HD현대일렉트릭,267260
효성중공업,298040
산일전기,062040
대한전선,001440
가온전선,000500
일진전기,103590
NAVER,035420
SK텔레콤,017670
현대제철,004020
동국제강,460860
세아베스틸지주,001430
